oracion,etiqueta
en el gimnasio me cobraron novecientos setenta euros,gasto
por una herencia ingresé seiscientos veinticinco con cincuenta y tres euros,ingreso
una transferencia familiar he percibido cuatro mil doscientos sesenta y cuatro euros de,ingreso
cobré tres mil ciento,ingreso
en una cena he desembolsado mil cuatrocientos diecinueve con cincuenta y siete euros,gasto
euros en electricidad me cobraron cuatro mil cuatrocientos cincuenta y cuatro,gasto
como autónomo hoy obtuve novecientos noventa y tres euros de honorarios,ingreso
me dejé setenta y,gasto
pagar el alquiler me han cargado cuarenta y seis euros para,gasto
recibí tres mil trescientos setenta y tres con trece euros de una herencia,ingreso
por un bonus cobré dos mil ciento cuarenta y uno con ochenta y cuatro euros,ingreso
se me fueron setecientos veinte con setenta y cuatro euros en el dentista,gasto
publicado este mes he cobrado ciento doce con catorce euros por un artículo,ingreso
he desembolsado cuatro mil,gasto
recibí dos mil quinientos,ingreso
para pagar ropa acabé pagando seiscientos sesenta y ocho con sesenta y cinco euros,gasto
me gasté mil quinientos noventa y dos euros en el coche,gasto
en la compra me gasté mil ciento cuarenta y dos con noventa y nueve euros,gasto
de un bonus me ingresaron novecientos setenta y tres con setenta y dos euros,ingreso
me cobraron setecientos sesenta y ocho con cincuenta y siete euros para pagar una mudanza,gasto
me han abonado cuatro,ingreso
solté mil quinientos treinta,gasto
pagué catorce euros de,gasto
me gasté cuatro mil,gasto
acabé pagando mil cuatrocientos,gasto
me cayo pasta cien euros,ingreso
aboné tres mil ochocientos,gasto
percibí sesenta y siete euros por referir a un cliente,ingreso
escolar este mes me entraron ochenta y nueve euros de ayuda,ingreso
he cobrado cinco mil euros por vender el coche,ingreso
cobré dos mil ochocientos,ingreso
pagué cuatrocientos dieciséis euros,gasto
he gastado dieciséis euros ayer en amazon prime,gasto
me costó veintiséis euros,gasto
me entraron treinta y siete con treinta y nueve euros de comisión por ventas esta semana,ingreso
spotify este mes me han cobrado diez euros de,gasto
me cobraron novecientos ochenta con veintiuno euros por un regalo en enero,gasto
percibí unos quinientos dos euros por un encargo de programación por fin,ingreso
en un vuelo se me fueron mil ciento treinta y dos con setenta y ocho euros,gasto
por una transferencia cobré ciento veinticuatro con dieciocho euros,ingreso
le hice un bizum a ana de veinte euros para la cena,gasto
veterinario en abril aboné noventa y cinco euros por el,gasto
he recibido en total,ingreso
ingresé tres mil ochocientos veintisiete euros por una apuesta,ingreso
recibí mil trescientos veintidós con cuarenta y ocho euros de una transferencia,ingreso
en el dentista me cobraron ochocientos noventa y nueve con noventa y seis euros,gasto
he recibido aproximadamente seiscientos,ingreso
me tocó pagar mil seiscientos cuarenta y siete con veintidós euros ayer en una consulta médica,gasto
amazon este mes gasté doscientos euros en,gasto
me cobraron novecientos veintidós,gasto
he ingresado cincuenta y,ingreso
en un vuelo me cobraron doscientos cuarenta y ocho euros,gasto
un trabajo freelance cobré tres mil trescientos treinta y seis euros por,ingreso
me han transferido doscientos veintiséis con cincuenta y tres euros de una subvención hoy,ingreso
me han pagado doscientos veintinueve con sesenta y seis euros de nómina esta semana,ingreso
recibí dos mil ochocientos,ingreso
me gasté tres mil quinientos siete con cincuenta y dos euros en una suscripción,gasto
me han transferido mil seiscientos euros del alquiler vacacional,ingreso
me cobró cincuenta y cinco euros el fontanero por la avería,gasto
me abonaron setecientos euros,ingreso
me han pagado ochocientos,ingreso
cobré seiscientos sesenta y seis euros del alquiler del piso el mes pasado,ingreso
he pagado tres mil ciento treinta con setenta y seis euros en gasolina,gasto
pagué cuarenta y ocho,gasto
me han transferido dos,ingreso
euros por cine invertí alrededor de quinientos setenta y uno,gasto
me costó cuatrocientos ochenta y siete con treinta euros electricidad,gasto
siete euros netflix me costó dos mil cincuenta y seis con noventa y,gasto
me han abonado ciento diecisiete con veintiocho euros de una transferencia,ingreso
municipal por fin me han transferido ciento cuarenta y nueve con trece euros de una ayuda,ingreso
la semana pasada pagué doscientos cincuenta euros al dentista,gasto
en un vuelo se me fueron trescientos ochenta con ochenta y tres euros,gasto
recibí cuatro mil novecientos,ingreso
por parking anoche gasté cuatrocientos diecisiete con sesenta y uno euros,gasto
le pasé cien euros a mi hermano para la gasolina,gasto
me pagaron cuatrocientos seis con cincuenta y cuatro euros por un proyecto,ingreso
cobré seiscientos sesenta y,ingreso
me gasté cuatro mil novecientos setenta y cuatro con dos euros en gasolina,gasto
me han abonado dos,ingreso
para el gato he gastado dos mil ciento noventa y siete con sesenta y tres euros este mes en arena,gasto
aboné setenta y dos euros de el cerrajero en abril,gasto
súper esta semana se fueron ochenta euros en el,gasto
cobré seiscientos ochenta y,ingreso
de concurso ayer me han transferido once con cincuenta y nueve euros de un premio,ingreso
desembolsé seiscientos ochenta y cinco euros esta semana en el fisioterapeuta,gasto
he cobrado setecientos noventa,ingreso
venta del sofá ingresé quinientos euros de la,ingreso
he pagado cuatrocientos setenta y siete con sesenta y cuatro euros en gasolina,gasto
en un vuelo me cobraron novecientos dieciocho euros,gasto
ikea el finde gasté ciento cincuenta euros en,gasto
cobré ciento veinticuatro con dieciocho euros por una transferencia,ingreso
me han abonado cuatro,ingreso
aboné noventa y ocho euros este mes en medicamentos,gasto
se me fueron ochocientos cuarenta y nueve con tres euros en un tren,gasto
por un bonus ingresé mil ocho euros,ingreso
me costó dos mil ciento noventa y ocho con noventa y ocho euros electricidad,gasto
de una transferencia recibí ciento noventa y cinco euros,ingreso
invertí quinientos once euros esta semana en la cuota del club,gasto
se me fueron mil,gasto
he pagado tres mil setecientos ocho con dieciocho euros en el coche,gasto
recibí tres mil trescientos,ingreso
desembolsé doscientos setenta con setenta y cuatro euros este mes en una consulta médica,gasto
he tenido que abonar doscientos treinta y nueve euros ayer en neumáticos,gasto
me pagaron trescientos cuarenta y uno con noventa y cinco euros de una ayuda municipal,ingreso
en el dentista he pagado mil setecientos noventa y seis con cuarenta y uno euros,gasto
he cobrado quinientos setenta y cuatro euros de la venta del sofá hoy,ingreso
pagué en total trescientos,gasto
compra del supermercado me cobraron cuatrocientos noventa y dos euros este mes en la,gasto
he cobrado doscientos cincuenta y cinco con sesenta y ocho euros por horas extra recientemente,ingreso
me ingresaron novecientos veintiuno con diecisiete euros de un bonus,ingreso
se fueron quinientos cincuenta,gasto
de una devolución me han abonado dos mil cuatrocientos dieciséis con doce euros,ingreso
pagar una mudanza me cobraron setecientos sesenta y ocho con cincuenta y siete euros para,gasto
farmacia esta tarde pagué noventa euros en la,gasto
recibí noventa y cinco,ingreso
ingresé setecientos ochenta y cinco con noventa y siete euros por una herencia,ingreso
súper este trimestre me tocó pagar cuatrocientos treinta y cuatro con cincuenta y seis euros con el,gasto
me han transferido ciento,ingreso
me han pagado trescientos,ingreso
gasté novecientos treinta y uno con setenta y tres euros por material de oficina,gasto
he percibido mil ciento uno con ochenta y ocho euros por un bonus,ingreso
me llegaron seiscientos euros del seguro por el golpe,ingreso
me debía pedro me han pagado los doscientos euros que,ingreso
he desembolsado doscientos veintisiete,gasto
me gasté dos mil,gasto
euros una reparación me costó dos mil cuatrocientos treinta y cuatro con ochenta,gasto
se me fueron quinientos noventa y nueve euros por zapatos hace poco,gasto
solté dos mil trescientos,gasto
euros en ropa he desembolsado tres mil novecientos veintitrés con setenta y tres,gasto
tuve que pagar cuatro,gasto
euros en gasolina me gasté cuatro mil novecientos setenta y cuatro con dos,gasto
la semana pasada pagué cuatro mil trescientos cuarenta y siete euros en un escritorio,gasto
tuve que pagar ochenta y tres euros para pagar ropa,gasto
he tenido que abonar,gasto
me han cargado novecientos,gasto
aboné mil doscientos treinta y ocho con cincuenta y uno euros de una comisión bancaria anoche,gasto
gasté ciento tres con,gasto
ingresé tres mil cuatrocientos,ingreso
